Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
(2014 UM192);Apollo Asteroid;56961;1.97;0.5398;111.402;3.097.419;333.285;151.735;0.9066;3.03;2.77;0.023;4;25.8
(2014 UR192);Apollo Asteroid;57800;20.548;0.5069;73.295;55.117;2.569.901;3.129.182;10.133;3.1;2.95;0.0716;6;20.9
(2014 US192);Apollo Asteroid;57800;22.035;0.7594;146.515;3.406.172;1.750.458;2.268.813;0.5302;3.88;3.27;0.2304;22;18.8
(2014 UT192);Apollo Asteroid;57800;14.316;0.544;374.809;2.256.689;594.781;1.733.186;0.6528;2.21;1.71;0.255;22;19.6
(2014 UU192);Amor Asteroid;57800;23.361;0.4809;127.885;136.831;1.759.014;2.665.415;12.126;3.46;3.57;0.245;8;19.3
(2014 UC206);Apollo Asteroid;57800;26.655;0.8424;116.428;1.359.901;2.054.541;2.009.674;0.42;4.91;4.35;0.1009;12;19.1
(2014 UD206);Amor Asteroid;57800;21.271;0.429;64.773;3.021.803;199.683;3.110.647;12.146;3.04;3.1;0.228;10;19.2
(2014 UF206);Amor Asteroid;57800;24.261;0.5417;480.404;127.727;1.146.553;1.961.083;11.118;3.74;3.78;0.1373;43;18.8
(2014 UH210);Apollo Asteroid;56961;25.585;0.6538;220.499;1.619.811;1.517.938;131.956;0.8858;4.23;4.09;0.1;4;21.1
(2014 UV210);Apollo Asteroid;57800;1.159;0.1339;0.5962;350.608;926.118;2.667.628;10.038;1.31;1.25;0.02;22;26.9
(2014 VA);Amor Asteroid;56963;18.232;0.4404;22.603;107.824;2.520.031;143.358;10.203;2.63;2.46;0.0414;2;24.6
(2014 VM);Amor Asteroid;57800;2.153;0.4151;369.867;1.584.598;2.507.097;2.631.224;12.593;3.05;3.16;0.2948;43;17.7
(2014 VP);Apollo Asteroid;57800;1.728;0.4229;153.316;214.06;2.338.069;3.454.745;0.9973;2.46;2.27;0.0541;8;22.8
(2014 VQ);Amor Asteroid;57800;14.456;0.2553;184.807;1.694.124;2.326.815;1.125.463;10.766;1.81;1.74;0.091;44;20.3
(2014 VU1);Amor Asteroid;57800;20.172;0.3582;210.932;3.329.864;617.445;2.812.621;12.946;2.74;2.87;0.3287;5;18.4
(2014 VG2);Apollo Asteroid;57800;11.894;0.1969;85.961;446.392;803.998;2.117.452;0.9552;1.42;1.3;0.015;23;22.7
(2014 VH2);Amor Asteroid;57800;24.263;0.5407;127.305;181.171;61.906;2.075.858;11.143;3.74;3.78;0.1389;26;21.6
(2014 VK2);Apollo Asteroid;57800;18.371;0.6035;163.943;2.319.643;633.573;355.236;0.7284;2.95;2.49;0.0949;19;18.7
(2014 VL6);Apollo Asteroid (Hazard);57800;12.437;0.3292;60.856;2.798.343;389.469;2.758.738;0.8343;1.65;1.39;0.0184;22;21.3
