Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
(2009 HD82);Apollo Asteroid;57800;12.534;0.4766;58.008;1.479.355;1.912.593;140.911;0.656;1.85;1.4;0.0812;29;21.6
(2009 HF82);Apollo Asteroid;54952;15.403;0.4402;420.553;33.108;405.696;961.157;0.8623;2.22;1.91;0.0827;7;20
(2009 HM82);Apollo Asteroid;57800;12.735;0.3028;204.184;800.537;2.180.511;108.538;0.8878;1.66;1.44;0.0699;15;22.6
(2009 HF88);Amor Asteroid;57800;25.769;0.5107;248.294;2.831.625;2.225.226;3.480.099;1.261;3.89;4.14;0.4748;20;19.4
(2009 JA);Apollo Asteroid;57800;14.229;0.3262;81.031;462.011;2.194.642;1.913.637;0.9588;1.89;1.7;0.0175;8;25.5
(2009 JR);Apollo Asteroid (Hazard);57800;1.73;0.4894;83.974;2.950.026;2.255.417;1.730.318;0.8834;2.58;2.28;0.0323;23;21.4
(2009 JS);Apollo Asteroid;54955;13.456;0.359;63.813;1.124.471;438.625;336.417;0.8626;1.83;1.56;0.0085;5;25.7
(2009 JE1);Apollo Asteroid;54955;13.678;0.2944;80.327;2.231.874;461.518;3.350.189;0.9651;1.77;1.6;0.0123;5;26.8
(2009 JF1);Apollo Asteroid;57800;18.924;0.7379;61.534;281.346;455.981;3.388.397;0.496;3.29;2.6;0;5;27.1
(2009 JG1);Amor Asteroid;57800;18.767;0.3272;170.245;238.756;230.929;3.554.187;12.626;2.49;2.57;0.2659;22;20.7
(2009 JK1);Amor Asteroid;57800;1.946;0.4247;89.132;1.224.549;1.839.335;2.775.614;11.195;2.77;2.71;0.1634;34;19.9
(2009 JL1);Apollo Asteroid;57800;1.18;0.1709;115.082;2.895.623;695.922;2.703.499;0.9784;1.38;1.28;0.0766;23;21
(2009 JM1);Apollo Asteroid;57800;10.343;0.4537;203.417;2.424.227;2.223.734;2.127.944;0.5651;1.5;1.05;0.0181;11;23.2
(2009 JG2);Apollo Asteroid;57800;20.355;0.6604;27.237;1.040.724;2.115.924;2.239.917;0.6913;3.38;2.9;0.0004;14;22.6
(2009 JL2);Apollo Asteroid;57800;18.543;0.4714;17.853;2.049.143;529.438;186.454;0.9801;2.73;2.53;0.0002;6;26
(2009 JM2);Apollo Asteroid;57800;24.008;0.603;17.359;1.186.866;663.999;39.591;0.9532;3.85;3.72;0.1057;29;19.4
(2009 JQ2);Amor Asteroid;54965;15.513;0.3256;362.489;1.138.585;465.085;356.427;10.461;2.06;1.93;0.1972;7;21.3
(2009 JR2);Amor Asteroid;57800;1.25;0.179;197.361;2.552.359;529.041;1.413.751;10.263;1.47;1.4;0.1293;16;22.8
(2009 KK);Apollo Asteroid (Hazard);57800;15.023;0.4551;18.217;2.473.395;681.599;365.136;0.8185;2.19;1.84;0;27;20.5
(2009 KL);Apollo Asteroid;54970;19.918;0.5908;66.403;3.075.164;2.219.461;167.009;0.8151;3.17;2.81;0.0171;11;23.8
(2009 KM);Apollo Asteroid;54972;24.213;0.7836;95.108;2.270.326;1.065.277;345.162;0.5239;4.32;3.77;0.1023;13;20.2
(2009 KN);Apollo Asteroid;54971;30.628;0.671;630.293;864.963;639.346;181.271;10.075;5.12;5.36;0.4841;10;20.4
(2009 KY1);Apollo Asteroid;57800;11.474;0.1895;93.685;2.814.925;2.369.175;1.671.534;0.9299;1.36;1.23;0.0382;16;23.7
(2009 KV2);Amor Asteroid;57800;21.096;0.3901;289.737;3.397.859;2.368.971;197.679;12.866;2.93;3.06;0.293;21;19.9
(2009 KW2);Apollo Asteroid;57800;13.618;0.2539;51.877;2.964;2.434.853;3.099.019;1.016;1.71;1.59;0.0036;9;26.6
(2009 KD3);Apollo Asteroid (Hazard);54977;2.171;0.6761;79.358;1.162.317;392.943;178.646;0.7031;3.64;3.2;0.028;8;21.4
(2009 KE3);Apollo Asteroid (Hazard);57800;26.729;0.703;58.582;3.198.398;138.534;2.690.632;0.7939;4.55;4.37;0.032;26;18.3
(2009 KO4);Amor Asteroid;57800;24.533;0.5577;20.366;1.253.891;1.279.874;19.736;10.851;3.82;3.84;0.0768;10;24.4
(2009 KQ4);Amor Asteroid;57800;15.289;0.2628;64.857;1.354.461;587.833;515.552;11.271;1.93;1.89;0.1436;11;20.4
(2009 KR4);Aten Asteroid;57800;0.8436;0.2395;106.956;1.912.754;2.399.112;1.573.933;0.6415;1.05;0.77;0.0262;8;25
(2009 KT4);Amor Asteroid;54982;12.774;0.2024;110.062;3.091.324;2.307.104;409.439;10.189;1.54;1.44;0.0645;9;21.8
(2009 KC7);Amor Asteroid;57800;26.381;0.536;154.549;3.574.519;2.562.285;289.808;12.241;4.05;4.29;0.2099;30;19.5
(2009 KK8);Apollo Asteroid (Hazard);57800;24.017;0.5941;22.732;1.940.807;1.205.116;16.363;0.9749;3.83;3.72;0.0087;22;18.7
(2009 KL8);Apollo Asteroid;57800;17.129;0.471;80.087;2.226.005;760.313;1.420.607;0.9061;2.52;2.24;0.0119;8;24.3
(2009 KR21);Apollo Asteroid;54983;17.304;0.5195;23.599;2.432.294;693.095;3.406.521;0.8315;2.63;2.28;0.0011;6;26.7
(2009 KT21);Amor Asteroid;57800;16.707;0.3323;69.415;2.444.074;2.309.242;303.02;11.155;2.23;2.16;0.1713;19;19.8
(2009 KV21);Apollo Asteroid;54985;24.151;0.5905;73.727;2.185.269;768.262;3.503.041;0.989;3.84;3.75;0.03;8;24.6
(2009 LA);Apollo Asteroid;57800;12.444;0.3099;124.799;2.884.887;249.109;2.418.471;0.8587;1.63;1.39;0.0069;8;26.3
(2009 LD);Aten Asteroid;57800;0.9882;0.1504;97.897;2.539.978;2.446.038;384.253;0.8396;1.14;0.98;0.0039;8;26.2
(2009 LE);Apollo Asteroid;57800;13.049;0.2347;212.881;2.149.627;813.026;329.419;0.9987;1.61;1.49;0.0181;11;23.6
(2009 LQ);Apollo Asteroid (Hazard);54998;15.502;0.5958;53.751;2.439.284;1.146.632;3.301.272;0.6266;2.47;1.93;0.0424;14;21.7
(2009 LX);Amor Asteroid;57800;2.835;0.6012;12.321;3.487.225;3.141.935;2.123.037;11.306;4.54;4.77;0.1205;43;19.3
(2009 LQ1);Amor Asteroid;57800;14.278;0.2168;12.083;1.361.101;1.042.231;1.897.266;11.182;1.74;1.71;0.1069;8;22
(2009 LU2);Apollo Asteroid;57800;14.141;0.5106;103.075;2.784.555;750.035;1.628.463;0.6921;2.14;1.68;0.0043;8;22.6
(2009 LV2);Apollo Asteroid;54999;14.949;0.5916;258.275;1.188.843;2.493.481;3.255.957;0.6105;2.38;1.83;0.1622;9;22.4
(2009 LW2);Apollo Asteroid (Hazard);57800;12.057;0.2594;331.494;410.824;1.011.262;370.274;0.893;1.52;1.32;0.0409;21;19.7
(2009 MA);Amor Asteroid;57800;20.158;0.488;182.562;2.128.131;987.637;2.289.624;10.322;3;2.86;0.0635;20;21.6
(2009 MD);Amor Asteroid;55004;23.305;0.5283;104.526;1.669.624;1.098.968;3.598.255;10.994;3.56;3.56;0.0878;8;23
(2009 MU);Apollo Asteroid;57800;2.287;0.6102;72.943;2.248.919;939.455;639.627;0.8914;3.68;3.46;0.0053;8;24.6
(2009 MW);Aten Asteroid;57800;0.9127;0.2991;210.332;236.237;875.763;523.107;0.6397;1.19;0.87;0.1131;18;20.8
(2009 MX);Amor Asteroid;57800;16.424;0.3153;202.169;1.709.076;98.586;2.279.424;11.245;2.16;2.1;0.1112;8;23
(2009 MG1);Apollo Asteroid;55007;20.038;0.6255;67.962;1.014.385;878.912;197.954;0.7504;3.26;2.84;0.0149;8;24
(2009 ML1);Amor Asteroid;57800;21.532;0.4363;32.429;633.369;279.11;1.309.807;12.139;3.09;3.16;0.2133;61;19.5
(2009 MM1);Amor Asteroid;57800;23.823;0.4954;88.033;2.284.133;697.436;235.749;1.202;3.56;3.68;0.2191;10;21.7
(2009 MX6);Apollo Asteroid;57800;21.499;0.5632;90.225;763.818;2.713.705;1.290.107;0.9391;3.36;3.15;0.0913;64;19.2
(2009 MM8);Amor Asteroid;57800;18.361;0.4338;30.792;2.031.793;947.277;153.307;10.396;2.63;2.49;0.0302;8;24.8
(2009 MN8);Amor Asteroid;57800;22.288;0.5422;35.143;3.250.745;2.828.412;1.152.057;10.203;3.44;3.33;0.0275;21;22.7
(2009 MC9);Amor Asteroid;57800;21.987;0.4654;90.909;3.428.297;3.264.321;1.108.515;11.755;3.22;3.26;0.1676;78;18.1
(2009 ME9);Aten Asteroid;57800;0.9235;0.5008;314.742;2.075.034;2.740.475;64.764;0.461;1.39;0.89;0.1615;11;21.2
(2009 NA);Amor Asteroid;57800;26.539;0.5571;10.098;998.347;2.686.082;2.556.248;11.753;4.13;4.32;0.2565;96;17.5
(2009 NH);Amor Asteroid;57800;21.756;0.4863;73.289;2.166.476;1.456.819;1.099.035;11.176;3.23;3.21;0.133;77;18.7
(2009 NL);Apollo Asteroid;57800;28.166;0.6853;137.677;1.128.471;132.806;2.243.569;0.8864;4.75;4.73;0.0733;31;19.8
(2009 OC);Amor Asteroid;57800;21.345;0.4478;45.838;1.383.322;1.783.547;1.480.842;11.788;3.09;3.12;0.1755;60;20.1
(2009 OF);Apollo Asteroid (Hazard);57800;23.528;0.599;93.732;2.180.494;126.906;226.299;0.9436;3.76;3.61;0.0061;23;21.5
(2009 OG);Apollo Asteroid (Hazard);57800;2.704;0.8586;483.825;1.141.639;309.43;2.370.366;0.3823;5.03;4.45;0.0424;44;16.2
(2009 OB3);Amor Asteroid;57800;22.467;0.4405;263.953;2.181.924;1.069.301;879.493;12.571;3.24;3.37;0.3017;13;18.9
(2009 OC3);Amor Asteroid;57800;20.511;0.4719;15.595;1.262.493;1.753.455;2.074.169;10.832;3.02;2.94;0.0719;23;22.3
(2009 OZ4);Apollo Asteroid;57800;26.754;0.6411;380.593;2.402.048;1.400.894;2.460.367;0.9602;4.39;4.38;0.1508;20;19.3
(2009 OS5);Amor Asteroid;57800;11.442;0.0967;16.951;1.208.393;1.453.674;976.827;10.336;1.25;1.22;0.0295;17;24.5
(2009 OX5);Apollo Asteroid;55043;18.178;0.4494;412.967;1.416.298;1.218.134;143.176;10.009;2.63;2.45;0.0542;11;19.7
(2009 OW6);Apollo Asteroid;57800;19.568;0.4822;0.1186;2.299.287;956.869;2.680.787;10.132;2.9;2.74;0.0024;10;25.4
(2009 OY7);Apollo Asteroid;55041;1.371;0.2745;276.478;2.222.502;125.145;336.454;0.9947;1.75;1.61;0.0364;5;24.8
(2009 OZ7);Amor Asteroid;57800;15.127;0.1828;211.207;153.424;3.180.917;60.884;12.362;1.79;1.86;0.2294;22;21
(2009 OO9);Apollo Asteroid;57800;16.238;0.812;135.689;3.220.439;1.351.098;2.095.099;0.3052;2.94;2.07;0.0733;20;18.8
(2009 OP9);Amor Asteroid;57800;20.215;0.4755;13.417;2.243.588;142.528;2.117.332;10.602;2.98;2.87;0.1161;18;19.2
(2009 PC);Aten Asteroid;57800;0.9959;0.3429;70.996;482.695;1.343.536;3.042.679;0.6544;1.34;0.99;0.0383;8;23.2
(2009 PD);Amor Asteroid;57800;12.657;0.1698;39.019;1.660.173;1.131.939;1.291.905;10.508;1.48;1.42;0.0368;7;24.2
(2009 PH);Amor Asteroid;57800;21.954;0.447;3.769;427.526;2.931.029;104.593;12.142;3.18;3.25;0.2102;26;22.1
(2009 PN);Amor Asteroid;55056;22.298;0.4265;57.881;2.609.378;359.904;186.722;12.787;3.18;3.33;0.2871;5;20.3
(2009 PY);Aten Asteroid;57800;0.9446;0.2941;265.624;1.959.832;3.256.755;1.994.164;0.6668;1.22;0.92;0.1807;13;21.1
(2009 PQ1);Apollo Asteroid;57800;14.971;0.4895;55.928;2.715.434;3.269.402;665.743;0.7644;2.23;1.83;0.0219;16;22.5
(2009 PR1);Amor Asteroid;57800;14.885;0.3118;86.467;1.675.029;1.390.666;557.884;10.244;1.95;1.82;0.0165;10;24.6
(2009 PU1);Apollo Asteroid;57800;11.032;0.1706;209.104;2.776.195;1.430.621;959.182;0.915;1.29;1.16;0.0551;10;22.4
(2009 PT2);Apollo Asteroid;57800;1.712;0.4662;38.281;955.921;2.998.403;974.161;0.9139;2.51;2.24;0.0458;15;23.5
(2009 PA3);Apollo Asteroid;55059;13.832;0.4385;57.045;1.093.438;1.320.454;358.152;0.7766;1.99;1.63;0.01;5;25.3
(2009 QC);Amor Asteroid;57800;21.082;0.4833;68.502;1.500.469;1.548.185;167.751;10.893;3.13;3.06;0.092;19;22.3
(2009 QO);Amor Asteroid;57800;21.427;0.4128;52.442;1.175.986;2.398.061;1.278.807;12.582;3.03;3.14;0.2708;26;20
(2009 QR);Apollo Asteroid;57800;13.425;0.2675;34.159;209.699;1.504.945;2.754.049;0.9834;1.7;1.56;0.0007;10;27.4
(2009 QS);Apollo Asteroid (Hazard);57800;2.112;0.5945;82.176;2.872.911;3.264.016;1.777.496;0.8564;3.37;3.07;0.0432;19;22
(2009 QT);Amor Asteroid;57800;13.331;0.1993;125.223;327.676;3.184.609;3.419.639;10.674;1.6;1.54;0.0762;16;23.4
(2009 QW1);Amor Asteroid;55064;26.906;0.5431;187.618;1.739.915;1.321.998;48.686;12.292;4.15;4.41;0.2156;8;21.4
(2009 QG2);Apollo Asteroid;57800;23.292;0.5741;30.355;400.086;3.052.129;331.165;0.9921;3.67;3.55;0.0182;16;23.2
(2009 QH2);Amor Asteroid;57800;23.334;0.5043;47.389;1.043.261;240.963;309.065;11.566;3.51;3.56;0.1732;33;21.2
(2009 QJ2);Amor Asteroid;57800;17.772;0.4159;119.765;1.562.948;1.434.274;687.336;1.038;2.52;2.37;0.0457;12;23.5
(2009 QK2);Amor Asteroid;57800;30.417;0.625;166.132;694.985;2.050.689;1.625.473;11.405;4.94;5.31;0.2768;28;17.9
(2009 QL2);Amor Asteroid;57800;26.143;0.5901;170.298;3.298.624;3.242.889;2.883.081;10.715;4.16;4.23;0.0985;19;20.9
(2009 QM5);Amor Asteroid;57800;21.113;0.4124;33.296;1.359.404;171.2;1.674.677;12.407;2.98;3.07;0.2308;15;22.5
(2009 QN5);Apollo Asteroid;57800;23.949;0.8345;147.398;1.367.415;3.287.382;3.508.944;0.3964;4.39;3.71;0.1166;14;19.3
(2009 QH6);Apollo Asteroid;57800;10.594;0.187;142.467;1.041.733;3.238.036;2.375.139;0.8613;1.26;1.09;0.008;13;22.7
(2009 QJ6);Amor Asteroid;55065;13.871;0.232;294.841;1.873.222;1.527.423;3.555.566;10.653;1.71;1.63;0.0563;9;22.6
(2009 QL8);Apollo Asteroid (Hazard);57800;19.308;0.5415;42.405;3.395.071;845.236;2.545.623;0.8853;2.98;2.68;0.0282;30;19.5
(2009 QQ8);Amor Asteroid;57800;14.849;0.203;272.995;1.517.076;155.444;65.853;11.835;1.79;1.81;0.1948;18;21.3
(2009 QR8);Amor Asteroid;57800;21.165;0.4527;56.451;1.786.499;1.372.662;1.617.962;11.583;3.07;3.08;0.1452;11;21.8
(2009 QJ9);Amor Asteroid;57800;27.238;0.6201;193.455;2.017.635;1.580.726;2.304.717;10.349;4.41;4.5;0.0518;29;19.4
(2009 QK9);Apollo Asteroid;57800;1.832;0.5414;142.542;2.397.659;1.566.482;3.465.521;0.8402;2.82;2.48;0.0051;14;23.2
(2009 QC23);Apollo Asteroid;57800;20.958;0.5199;39.711;3.371.943;3.284.873;1.740.289;10.062;3.19;3.03;0.0112;18;24.8
(2009 QL32);Apollo Asteroid;55076;20.349;0.6047;58.077;101.973;1.635.724;187.953;0.8043;3.27;2.9;0.0262;11;24.6
(2009 QD34);Amor Asteroid;57800;24.322;0.4946;64.042;2.527.518;984.408;350.471;12.292;3.64;3.79;0.2522;41;18
(2009 QE34);Apollo Asteroid;57800;12.892;0.2319;26.268;1.634.887;1.428.067;560.146;0.9902;1.59;1.46;0.007;14;23.6
(2009 QF34);Amor Asteroid;57800;21.491;0.4372;18.567;1.630.198;1.659.305;1.374.898;12.096;3.09;3.15;0.1992;15;22.6
(2009 QG34);Apollo Asteroid;57800;27.556;0.6494;221.303;3.002.815;33.846;2.365.847;0.966;4.55;4.57;0.1321;23;19.5
(2009 QH34);Apollo Asteroid;57800;22.912;0.5605;30.713;1.890.727;1.610.179;505.989;1.007;3.58;3.47;0.0032;11;24.9
(2009 QZ34);Apollo Asteroid;57800;17.732;0.4302;24.026;2.296.666;171.758;334.076;10.104;2.54;2.36;0.0344;25;22.5
(2009 QA35);Amor Asteroid;57800;26.584;0.5549;122.733;3.403.068;3.352.435;2.681.773;11.834;4.13;4.33;0.1821;14;22.4
(2009 QC35);Apollo Asteroid;57800;21.904;0.5694;10.639;2.288.587;1.475.168;997.166;0.9432;3.44;3.24;0.0046;9;25.4
(2009 QB36);Apollo Asteroid;57800;22.424;0.7869;156.323;1.765.733;3.102.108;548.814;0.4779;4.01;3.36;0.2621;28;17.7
(2009 QC36);Apollo Asteroid;57800;14.932;0.3871;68.129;897.887;1.864.298;616.221;0.9152;2.07;1.82;0.0755;18;22
(2009 RH);Apollo Asteroid;57800;12.467;0.3063;35.446;2.645.817;1.657.523;722.193;0.8648;1.63;1.39;0.02;12;23.8
(2009 RM);Amor Asteroid;57800;27.904;0.5511;79.802;3.245.936;3.488.935;2.197.058;12.525;4.33;4.66;0.2543;22;18.2
(2009 RN);Amor Asteroid;57800;28.367;0.6158;33.988;310.161;933.001;1.878.784;10.899;4.58;4.78;0.11;62;19.9
(2009 RR);Apollo Asteroid;57800;14.148;0.467;61.463;2.562.125;1.742.132;1.269.093;0.7541;2.08;1.68;0.0023;9;25.5
(2009 RD1);Amor Asteroid;57800;25.685;0.5416;20.981;0.8348;3.534.605;2.841.989;11.774;3.96;4.12;0.173;24;20.5
(2009 RT1);Amor Asteroid;57800;11.555;0.1061;4.15;1.365.017;1.596.682;340.329;10.328;1.28;1.24;0.0382;11;23.6
(2009 RU1);Apollo Asteroid;55089;13.484;0.378;0.8536;3.295.739;3.010.224;408.313;0.8387;1.86;1.57;0.009;9;24.3
(2009 RV1);Apollo Asteroid (Hazard);57800;26.958;0.6376;18.958;564.469;20.411;2.312.346;0.977;4.41;4.43;0.021;23;21.9
(2009 RG2);Apollo Asteroid;57800;15.543;0.3734;30.497;381.083;3.538.953;2.811.504;0.974;2.13;1.94;0.0104;11;25.7
(2009 RH2);Amor Asteroid;57800;2.367;0.4846;58.056;3.488.529;0.3356;12.944;12.199;3.51;3.64;0.2155;15;21.4
(2009 RY3);Apollo Asteroid;55090;10.542;0.4731;278.822;659.032;1.692.989;618.444;0.5555;1.55;1.08;0.005;7;24.6
(2009 RZ3);Apollo Asteroid (Hazard);57800;22.098;0.6754;526.544;1.142.637;3.447.268;619.234;0.7174;3.7;3.29;0.0441;19;18.7
(2009 RA4);Amor Asteroid;57800;22.662;0.4497;62.056;345.293;3.582.012;657.324;12.471;3.29;3.41;0.242;13;21.6
(2009 RD4);Amor Asteroid;57800;27.222;0.6028;225.871;101.138;83.285;2.255.367;10.812;4.36;4.49;0.0868;19;20.5
(2009 RX4);Amor Asteroid;55090;13.172;0.1897;146.528;210.372;3.495.662;3.481.578;10.673;1.57;1.51;0.0714;5;26.2
(2009 SA);Amor Asteroid;55093;21.997;0.4796;141.802;166.789;1.774.809;3.592;11.447;3.25;3.26;0.1443;7;24.4
(2009 SB);Apollo Asteroid (Hazard);57800;22.055;0.8043;54.613;2.690.592;2.177.362;632.642;0.4315;3.98;3.28;0.0258;19;20.5
(2009 SD);Apollo Asteroid;55091;17.344;0.5668;30.479;2.870.572;3.443.255;250.841;0.7513;2.72;2.28;0.0002;8;25.4
(2009 SF);Amor Asteroid;55091;15.397;0.2935;30.452;148.769;3.535.144;3.528.615;10.878;1.99;1.91;0.0904;5;25.1
(2009 SG);Amor Asteroid;57800;23.948;0.5125;397.496;382.107;11.907;3.476.478;11.674;3.62;3.71;0.2424;22;19.6
(2009 SH);Amor Asteroid;55093;2.467;0.5657;189.142;372.286;3.506.691;3.523.472;10.713;3.86;3.87;0.1273;7;24.1
(2009 SJ);Apollo Asteroid;55092;12.343;0.2637;101.252;2.451.655;1.769.901;3.188.618;0.9088;1.56;1.37;0.0197;7;25.8
(2009 SK);Amor Asteroid;55096;26.562;0.6044;0.7798;232.907;3.414.467;3.590.458;10.508;4.26;4.33;0.0485;12;25.1
(2009 SL);Apollo Asteroid;55091;13.497;0.259;196.844;2.148.278;1.747.391;3.392.604;10.002;1.7;1.57;0.0319;5;26.7
(2009 SM);Amor Asteroid;57800;17.721;0.3362;206.441;2.734.911;220.919;902.487;11.763;2.37;2.36;0.3735;23;19.5
(2009 SN);Apollo Asteroid (Hazard);55093;1.425;0.3205;264.141;378.097;3.446.685;346.214;0.9682;1.88;1.7;0.0119;9;21.7
(2009 SP);Amor Asteroid;57800;22.207;0.4936;252.821;2.562.341;1.780.816;55.867;11.246;3.32;3.31;0.3509;16;19.5
(2009 SQ);Apollo Asteroid;57800;27.049;0.8639;337.736;1.403.679;3.414.116;2.239.053;0.3681;5.04;4.45;0.2617;17;19
(2009 SS);Aten Asteroid;55091;0.9079;0.1992;94.372;162.498;3.505.533;2.104.141;0.727;1.09;0.87;0.0626;5;26.7
(2009 SU);Amor Asteroid;57800;2.3;0.4978;89.906;144.869;1.765.243;543.767;11.551;3.44;3.49;0.1672;15;22.7
(2009 SW);Amor Asteroid;57800;20.197;0.4377;69.907;2.039.986;191.051;1.949.209;11.356;2.9;2.87;0.1486;22;22.1
(2009 SY);Apollo Asteroid;57800;12.515;0.441;146.688;575.637;1.762.644;1.764.113;0.6995;1.8;1.4;0.1071;6;22.8
(2009 SC1);Apollo Asteroid;55094;17.487;0.5029;7.573;1.083.381;1.797.344;237.678;0.8692;2.63;2.31;0.0379;9;24.6
(2009 SD1);Apollo Asteroid;55093;17.078;0.5025;319.408;620.349;10.567;3.386.801;0.8497;2.57;2.23;0.025;7;22.3
(2009 SH1);Apollo Asteroid;55092;11.983;0.246;33.257;2.948.746;3.549.254;41.632;0.9035;1.49;1.31;0.004;5;29.4
(2009 SJ1);Amor Asteroid;55093;15.796;0.3527;116.293;3.396.592;3.549.452;97.969;10.224;2.14;1.99;0.0308;8;26
(2009 SL1);Apollo Asteroid;55092;18.782;0.4597;85.707;1.306.462;1.745.396;175.113;10.148;2.74;2.57;0.0707;5;24.3
(2009 SM1);Amor Asteroid;55095;21.885;0.5019;0.4004;89.717;3.231.159;76.334;10.902;3.29;3.24;0.079;9;25
(2009 SN1);Amor Asteroid;55095;1.958;0.4778;41.496;336.979;3.575.652;3.494.042;10.224;2.89;2.74;0.0418;10;25.7
(2009 SW1);Apollo Asteroid;57800;21.085;0.5673;20.615;3.475.881;3.168.079;1.640.562;0.9123;3.3;3.06;0.0178;17;23.7
(2009 SX1);Apollo Asteroid;57800;17.227;0.4472;82.853;1.151.637;3.351.975;675.072;0.9523;2.49;2.26;0.0736;28;18.8
(2009 SE2);Amor Asteroid;55093;26.051;0.5192;64.126;1.541.262;1.719.106;8.122;12.527;3.96;4.2;0.2465;2;23
(2009 SF2);Amor Asteroid;57800;2.251;0.4486;64.201;598.803;3.344.133;600.781;12.412;3.26;3.38;0.2683;17;20.8
(2009 SH2);Aten Asteroid;57800;0.9914;0.0943;68.114;1.016.808;66.894;748.885;0.8979;1.08;0.99;0.001;20;24.9
(2009 SJ2);Amor Asteroid;55093;25.301;0.5118;123.839;3.555.575;3.553.229;12.251;12.351;3.83;4.02;0.2297;6;23.7
(2009 SK2);Apollo Asteroid;57800;17.193;0.4716;382.339;2.571.001;239.572;1.516.018;0.9086;2.53;2.25;0.1675;15;18.8
(2009 SL2);Apollo Asteroid;57800;10.463;0.2489;237.379;2.246.155;49.735;698.715;0.7858;1.31;1.07;0.1515;9;22.1
(2009 SB15);Apollo Asteroid;57800;20.467;0.6779;41.676;1.697.931;313.609;1.515.368;0.6592;3.43;2.93;0.0688;25;20.6
(2009 SD15);Apollo Asteroid;55094;23.358;0.6249;28.938;3.034.747;3.570.516;115.894;0.8762;3.8;3.57;0.0071;6;26.9
(2009 SH15);Apollo Asteroid;57800;18.287;0.4536;97.543;22.709;3.590.229;3.496.094;0.9993;2.66;2.47;0.0183;10;24.5
(2009 SJ15);Amor Asteroid;55097;13.801;0.256;184.066;2.126.897;1.779.715;3.436.284;10.268;1.73;1.62;0.0545;9;23.1
(2009 SK15);Apollo Asteroid;57800;11.248;0.1018;162.348;22.425;3.588.115;561.524;10.103;1.24;1.19;0.0145;8;25.3
(2009 SV17);Amor Asteroid;57800;27.005;0.5873;34.397;1.259.117;3.225.062;2.111.391;11.144;4.29;4.44;0.1405;16;19.6
(2009 SW17);Apollo Asteroid (Hazard);57800;20.124;0.599;84.445;417.018;427.599;1.912.888;0.807;3.22;2.85;0.0435;20;19.9
(2009 SX17);Amor Asteroid;57800;23.378;0.5416;14.032;60.33;3.043.681;235.104;10.717;3.6;3.57;0.0734;15;24.2
(2009 SG18);Apollo Asteroid (Hazard);57800;30.387;0.6728;581.551;2.045.236;1.775.912;1.339.785;0.9944;5.08;5.3;0.0282;22;17.8
(2009 SJ18);Aten Asteroid;57800;0.945;0.1115;125.681;1.728.592;0.4333;211.373;0.8397;1.05;0.92;0.047;8;24.6
(2009 ST19);Apollo Asteroid (Hazard);57800;23.611;0.5948;6.728;3.368.783;0.1956;18.725;0.9567;3.77;3.63;0.0089;61;18.3
(2009 SV19);Amor Asteroid;55098;22.063;0.5292;52.421;8.853;3.573.807;3.583.796;10.388;3.37;3.28;0.0375;7;26
(2009 SW19);Apollo Asteroid;57800;12.628;0.3275;62.909;384.345;1.840.382;1.885.747;0.8492;1.68;1.42;0.0984;21;19.5
(2009 SM98);Apollo Asteroid;55103;24.304;0.7004;75.004;1.108.397;1.669.689;154.714;0.7282;4.13;3.79;0.0037;14;22.3
(2009 SN98);Amor Asteroid;57800;19.829;0.4074;65.293;3.052.616;1.516.036;1.834.706;11.751;2.79;2.79;0.2147;27;19
(2009 SO98);Apollo Asteroid;57800;12.191;0.1883;184.521;436.547;50.137;1.465.441;0.9895;1.45;1.35;0.0323;11;24.3
(2009 SZ99);Aten Asteroid;57800;0.8148;0.2144;213.264;1.474.635;338.072;2.716.151;0.6401;0.99;0.74;0.0566;12;19.5
(2009 SA100);Apollo Asteroid;57800;11.429;0.2852;38.127;1.098.057;160.622;776.295;0.817;1.47;1.22;0.0121;7;23.9
(2009 SB100);Amor Asteroid;57800;18.808;0.4392;67.196;170.255;1.913.383;3.119.437;10.547;2.71;2.58;0.0558;15;23.7
(2009 SC100);Amor Asteroid;55104;25.023;0.587;138.996;379.827;19.802;3.527.853;10.335;3.97;3.96;0.0905;12;23.6
(2009 SN103);Apollo Asteroid;57800;12.989;0.2655;35.944;394.646;56.464;3.325.942;0.9541;1.64;1.48;0.0005;10;27.6
(2009 SQ103);Amor Asteroid;55100;22.821;0.5307;81.326;3.310.903;26.481;78.784;1.071;3.49;3.45;0.0835;6;25
(2009 SR103);Apollo Asteroid;55101;14.831;0.3609;104.165;59.288;0.2121;333.577;0.9478;2.02;1.81;0.0527;7;25.2
(2009 SS103);Apollo Asteroid;55100;10.422;0.2608;238.593;1.594.799;3.589.621;221.253;0.7704;1.31;1.06;0.2131;5;22.4
(2009 ST103);Apollo Asteroid (Hazard);57800;26.869;0.7221;159.296;2.338.453;227.242;2.224.295;0.7467;4.63;4.4;0.0487;29;18.1
(2009 SK104);Amor Asteroid;55101;27.722;0.6172;41.528;2.857.174;3.284.772;363.064;10.613;4.48;4.62;0.0848;8;19
